captured_at,slug,interval_min,market_id,yes_token,window_start,window_end,minutes_left,best_bid,best_ask,mid,spread,bid_size,ask_size,book_levels
2026-09-19T03:24:53.240149+00:00,btc-updown-5m-1789788300,5,4666257,33013398585106938090393592265617526218206490259034577946795512843028396693529,2026-09-19T03:25:00+00:00,2026-09-19T03:30:00+00:00,5.12,0.43,0.44,0.435,0.01,193.84,82.75,99
2026-09-19T03:24:53.240149+00:00,btc-updown-15m-1789787700,15,4666170,55845387925295034421345095504759553483179745222195003131443436810573742830624,2026-09-19T03:15:00+00:00,2026-09-19T03:30:00+00:00,5.12,0.11,0.12,0.115,0.01,402.06,251.0,99
2026-09-19T03:24:53.240149+00:00,btc-updown-15m-1789788600,15,4666266,3210579337891489756050212604754098005953214907345594716842048624992948818222,2026-09-19T03:30:00+00:00,2026-09-19T03:45:00+00:00,20.12,0.51,0.52,0.515,0.01,209.02,112.53,97
2026-09-19T03:25:54.231817+00:00,btc-updown-5m-1789788300,5,4666257,33013398585106938090393592265617526218206490259034577946795512843028396693529,2026-09-19T03:25:00+00:00,2026-09-19T03:30:00+00:00,4.1,0.24,0.25,0.245,0.01,160.56,483.77,99
2026-09-19T03:25:54.231817+00:00,btc-updown-5m-1789788600,5,4666273,114494507210260491380817455355381734370725096928671443058190310151848287600934,2026-09-19T03:30:00+00:00,2026-09-19T03:35:00+00:00,9.1,0.54,0.55,0.545,0.01,2.6,272.43,98
2026-09-19T03:25:54.231817+00:00,btc-updown-15m-1789787700,15,4666170,55845387925295034421345095504759553483179745222195003131443436810573742830624,2026-09-19T03:15:00+00:00,2026-09-19T03:30:00+00:00,4.1,0.06,0.07,0.065,0.01,13.0,140.0,99
2026-09-19T03:25:54.231817+00:00,btc-updown-15m-1789788600,15,4666266,3210579337891489756050212604754098005953214907345594716842048624992948818222,2026-09-19T03:30:00+00:00,2026-09-19T03:45:00+00:00,19.1,0.51,0.52,0.515,0.01,59.02,111.25,97
2026-09-19T03:26:55.440569+00:00,btc-updown-5m-1789788300,5,4666257,33013398585106938090393592265617526218206490259034577946795512843028396693529,2026-09-19T03:25:00+00:00,2026-09-19T03:30:00+00:00,3.08,0.54,0.55,0.545,0.01,247.47,45.37,99
2026-09-19T03:26:55.440569+00:00,btc-updown-5m-1789788600,5,4666273,114494507210260491380817455355381734370725096928671443058190310151848287600934,2026-09-19T03:30:00+00:00,2026-09-19T03:35:00+00:00,8.08,0.54,0.55,0.545,0.01,0.42,197.43,97
2026-09-19T03:26:55.440569+00:00,btc-updown-15m-1789787700,15,4666170,55845387925295034421345095504759553483179745222195003131443436810573742830624,2026-09-19T03:15:00+00:00,2026-09-19T03:30:00+00:00,3.08,0.08,0.09,0.085,0.01,3.26,247.25,99
2026-09-19T03:26:55.440569+00:00,btc-updown-15m-1789788600,15,4666266,3210579337891489756050212604754098005953214907345594716842048624992948818222,2026-09-19T03:30:00+00:00,2026-09-19T03:45:00+00:00,18.08,0.51,0.52,0.515,0.01,209.02,91.25,97
2026-09-19T03:27:56.402241+00:00,btc-updown-5m-1789788300,5,4666257,33013398585106938090393592265617526218206490259034577946795512843028396693529,2026-09-19T03:25:00+00:00,2026-09-19T03:30:00+00:00,2.07,0.38,0.39,0.385,0.01,110.98,246.41,99
2026-09-19T03:27:56.402241+00:00,btc-updown-5m-1789788600,5,4666273,114494507210260491380817455355381734370725096928671443058190310151848287600934,2026-09-19T03:30:00+00:00,2026-09-19T03:35:00+00:00,7.07,0.53,0.54,0.535,0.01,55.0,49.59,97
2026-09-19T03:27:56.402241+00:00,btc-updown-15m-1789788600,15,4666266,3210579337891489756050212604754098005953214907345594716842048624992948818222,2026-09-19T03:30:00+00:00,2026-09-19T03:45:00+00:00,17.07,0.51,0.52,0.515,0.01,209.02,50.0,97
2026-09-19T03:28:57.255974+00:00,btc-updown-5m-1789788300,5,4666257,33013398585106938090393592265617526218206490259034577946795512843028396693529,2026-09-19T03:25:00+00:00,2026-09-19T03:30:00+00:00,1.05,0.03,0.04,0.035,0.01,53.45,163.82,99
