captured_at,slug,interval_min,market_id,yes_token,window_start,window_end,minutes_left,best_bid,best_ask,mid,spread,bid_size,ask_size,book_levels
2026-09-22T01:27:41.697998+00:00,btc-updown-5m-1790040300,5,4779840,84372572896145012850053727053329457254463085330520929720616971067617384331942,2026-09-22T01:25:00+00:00,2026-09-22T01:30:00+00:00,2.32,0.65,0.66,0.655,0.01,1788.37,32.38,99
2026-09-22T01:27:41.697998+00:00,btc-updown-5m-1790040600,5,4779841,104921984620084645664376199405947974586343809260202846062314214266267740077324,2026-09-22T01:30:00+00:00,2026-09-22T01:35:00+00:00,7.32,0.5,0.51,0.505,0.01,399.09,329.71,99
2026-09-22T01:27:41.697998+00:00,btc-updown-15m-1790039700,15,4779822,95386850184939101044681153113927818812817594921302378806212585130145919313241,2026-09-22T01:15:00+00:00,2026-09-22T01:30:00+00:00,2.32,0.06,0.07,0.065,0.01,344.65,179.13,99
2026-09-22T01:27:41.697998+00:00,btc-updown-15m-1790040600,15,4779847,2892907961805423962794414182479763330586567336829446703075605001100248772495,2026-09-22T01:30:00+00:00,2026-09-22T01:45:00+00:00,17.32,0.52,0.53,0.525,0.01,1025.26,244.99,95
2026-09-22T01:28:43.030227+00:00,btc-updown-5m-1790040300,5,4779840,84372572896145012850053727053329457254463085330520929720616971067617384331942,2026-09-22T01:25:00+00:00,2026-09-22T01:30:00+00:00,1.28,0.86,0.87,0.865,0.01,292.99,215.42,99
2026-09-22T01:28:43.030227+00:00,btc-updown-5m-1790040600,5,4779841,104921984620084645664376199405947974586343809260202846062314214266267740077324,2026-09-22T01:30:00+00:00,2026-09-22T01:35:00+00:00,6.28,0.5,0.51,0.505,0.01,324.09,317.64,99
2026-09-22T01:28:43.030227+00:00,btc-updown-15m-1790039700,15,4779822,95386850184939101044681153113927818812817594921302378806212585130145919313241,2026-09-22T01:15:00+00:00,2026-09-22T01:30:00+00:00,1.28,0.02,0.03,0.025,0.01,155.0,191.81,99
2026-09-22T01:28:43.030227+00:00,btc-updown-15m-1790040600,15,4779847,2892907961805423962794414182479763330586567336829446703075605001100248772495,2026-09-22T01:30:00+00:00,2026-09-22T01:45:00+00:00,16.28,0.53,0.54,0.535,0.01,70.3,377.44,95
2026-09-22T01:29:44.127146+00:00,btc-updown-5m-1790040600,5,4779841,104921984620084645664376199405947974586343809260202846062314214266267740077324,2026-09-22T01:30:00+00:00,2026-09-22T01:35:00+00:00,5.27,0.57,0.58,0.575,0.01,115.48,9.0,99
2026-09-22T01:29:44.127146+00:00,btc-updown-15m-1790040600,15,4779847,2892907961805423962794414182479763330586567336829446703075605001100248772495,2026-09-22T01:30:00+00:00,2026-09-22T01:45:00+00:00,15.27,0.53,0.54,0.535,0.01,515.3,116.55,91
2026-09-22T01:30:45.021236+00:00,btc-updown-5m-1790040600,5,4779841,104921984620084645664376199405947974586343809260202846062314214266267740077324,2026-09-22T01:30:00+00:00,2026-09-22T01:35:00+00:00,4.25,0.45,0.46,0.455,0.01,1077.86,17.0,99
2026-09-22T01:30:45.021236+00:00,btc-updown-5m-1790040900,5,4779899,115183894145501248185501271827535810856075224372101303289680513065839731132436,2026-09-22T01:35:00+00:00,2026-09-22T01:40:00+00:00,9.25,0.5,0.51,0.505,0.01,412.12,558.91,99
2026-09-22T01:30:45.021236+00:00,btc-updown-15m-1790040600,15,4779847,2892907961805423962794414182479763330586567336829446703075605001100248772495,2026-09-22T01:30:00+00:00,2026-09-22T01:45:00+00:00,14.25,0.47,0.48,0.475,0.01,855.0,68.79,99
2026-09-22T01:30:45.021236+00:00,btc-updown-15m-1790041500,15,4779917,27127310105664644850617956660162804730195827315914171655152384827840345012844,2026-09-22T01:45:00+00:00,2026-09-22T02:00:00+00:00,29.25,0.52,0.53,0.525,0.01,897.97,262.55,95
2026-09-22T01:31:46.085642+00:00,btc-updown-5m-1790040600,5,4779841,104921984620084645664376199405947974586343809260202846062314214266267740077324,2026-09-22T01:30:00+00:00,2026-09-22T01:35:00+00:00,3.23,0.75,0.76,0.755,0.01,263.31,313.88,99
2026-09-22T01:31:46.085642+00:00,btc-updown-5m-1790040900,5,4779899,115183894145501248185501271827535810856075224372101303289680513065839731132436,2026-09-22T01:35:00+00:00,2026-09-22T01:40:00+00:00,8.23,0.5,0.51,0.505,0.01,412.12,564.99,99
2026-09-22T01:31:46.085642+00:00,btc-updown-15m-1790040600,15,4779847,2892907961805423962794414182479763330586567336829446703075605001100248772495,2026-09-22T01:30:00+00:00,2026-09-22T01:45:00+00:00,13.23,0.59,0.6,0.595,0.01,282.0,130.0,99
2026-09-22T01:31:46.085642+00:00,btc-updown-15m-1790041500,15,4779917,27127310105664644850617956660162804730195827315914171655152384827840345012844,2026-09-22T01:45:00+00:00,2026-09-22T02:00:00+00:00,28.23,0.52,0.53,0.525,0.01,837.97,235.64,95
2026-09-22T01:32:47.172713+00:00,btc-updown-5m-1790040600,5,4779841,104921984620084645664376199405947974586343809260202846062314214266267740077324,2026-09-22T01:30:00+00:00,2026-09-22T01:35:00+00:00,2.22,0.61,0.62,0.615,0.01,560.55,30.0,99
2026-09-22T01:32:47.172713+00:00,btc-updown-5m-1790040900,5,4779899,115183894145501248185501271827535810856075224372101303289680513065839731132436,2026-09-22T01:35:00+00:00,2026-09-22T01:40:00+00:00,7.22,0.5,0.51,0.505,0.01,442.12,552.18,99
2026-09-22T01:32:47.172713+00:00,btc-updown-15m-1790040600,15,4779847,2892907961805423962794414182479763330586567336829446703075605001100248772495,2026-09-22T01:30:00+00:00,2026-09-22T01:45:00+00:00,12.22,0.56,0.57,0.565,0.01,120.0,380.33,99
2026-09-22T01:32:47.172713+00:00,btc-updown-15m-1790041500,15,4779917,27127310105664644850617956660162804730195827315914171655152384827840345012844,2026-09-22T01:45:00+00:00,2026-09-22T02:00:00+00:00,27.22,0.52,0.53,0.525,0.01,837.97,233.78,95
2026-09-22T01:33:48.209367+00:00,btc-updown-5m-1790040600,5,4779841,104921984620084645664376199405947974586343809260202846062314214266267740077324,2026-09-22T01:30:00+00:00,2026-09-22T01:35:00+00:00,1.2,0.97,0.98,0.975,0.01,804.62,57.66,99
2026-09-22T01:33:48.209367+00:00,btc-updown-5m-1790040900,5,4779899,115183894145501248185501271827535810856075224372101303289680513065839731132436,2026-09-22T01:35:00+00:00,2026-09-22T01:40:00+00:00,6.2,0.5,0.51,0.505,0.01,327.12,533.14,99
2026-09-22T01:33:48.209367+00:00,btc-updown-15m-1790040600,15,4779847,2892907961805423962794414182479763330586567336829446703075605001100248772495,2026-09-22T01:30:00+00:00,2026-09-22T01:45:00+00:00,11.2,0.66,0.67,0.665,0.01,44.13,562.2,99
2026-09-22T01:33:48.209367+00:00,btc-updown-15m-1790041500,15,4779917,27127310105664644850617956660162804730195827315914171655152384827840345012844,2026-09-22T01:45:00+00:00,2026-09-22T02:00:00+00:00,26.2,0.52,0.53,0.525,0.01,807.97,309.44,95
2026-09-22T01:34:49.300373+00:00,btc-updown-5m-1790040900,5,4779899,115183894145501248185501271827535810856075224372101303289680513065839731132436,2026-09-22T01:35:00+00:00,2026-09-22T01:40:00+00:00,5.18,0.5,0.51,0.505,0.01,26.0,275.32,98
