captured_at,slug,interval_min,market_id,yes_token,window_start,window_end,minutes_left,best_bid,best_ask,mid,spread,bid_size,ask_size,book_levels
2026-08-28T00:51:39.016216+00:00,btc-updown-5m-1787878200,5,3922451,5530530483889178754618665479705263811679217557379820647073817110509900637988,2026-08-28T00:50:00+00:00,2026-08-28T00:55:00+00:00,3.35,0.48,0.49,0.485,0.01,231.99,121.0,99
2026-08-28T00:51:39.016216+00:00,btc-updown-5m-1787878500,5,3922492,21360299914019448158962127602738038812791951604698911934865827556263811548197,2026-08-28T00:55:00+00:00,2026-08-28T01:00:00+00:00,8.35,0.47,0.48,0.475,0.01,380.0,4.79,99
2026-08-28T00:51:39.016216+00:00,btc-updown-15m-1787877900,15,3922262,24460721788940256162709736942779031682345851392378705657952182542165885620560,2026-08-28T00:45:00+00:00,2026-08-28T01:00:00+00:00,8.35,0.59,0.6,0.595,0.01,202.4,95.28,99
2026-08-28T00:51:39.016216+00:00,btc-updown-15m-1787878800,15,3922562,13066909790877338476971847851588327671576452556912498317567508886559309794055,2026-08-28T01:00:00+00:00,2026-08-28T01:15:00+00:00,23.35,0.49,0.5,0.495,0.01,230.0,716.0,89
2026-08-28T00:52:40.358641+00:00,btc-updown-5m-1787878200,5,3922451,5530530483889178754618665479705263811679217557379820647073817110509900637988,2026-08-28T00:50:00+00:00,2026-08-28T00:55:00+00:00,2.33,0.09,0.1,0.095,0.01,305.39,332.43,99
2026-08-28T00:52:40.358641+00:00,btc-updown-5m-1787878500,5,3922492,21360299914019448158962127602738038812791951604698911934865827556263811548197,2026-08-28T00:55:00+00:00,2026-08-28T01:00:00+00:00,7.33,0.47,0.48,0.475,0.01,363.67,9.79,99
2026-08-28T00:52:40.358641+00:00,btc-updown-15m-1787877900,15,3922262,24460721788940256162709736942779031682345851392378705657952182542165885620560,2026-08-28T00:45:00+00:00,2026-08-28T01:00:00+00:00,7.33,0.35,0.36,0.355,0.01,145.0,65.0,99
2026-08-28T00:52:40.358641+00:00,btc-updown-15m-1787878800,15,3922562,13066909790877338476971847851588327671576452556912498317567508886559309794055,2026-08-28T01:00:00+00:00,2026-08-28T01:15:00+00:00,22.33,0.49,0.5,0.495,0.01,434.08,556.0,88
2026-08-28T00:53:41.601836+00:00,btc-updown-5m-1787878200,5,3922451,5530530483889178754618665479705263811679217557379820647073817110509900637988,2026-08-28T00:50:00+00:00,2026-08-28T00:55:00+00:00,1.32,0.67,0.68,0.675,0.01,253.6,7.53,97
2026-08-28T00:53:41.601836+00:00,btc-updown-5m-1787878500,5,3922492,21360299914019448158962127602738038812791951604698911934865827556263811548197,2026-08-28T00:55:00+00:00,2026-08-28T01:00:00+00:00,6.32,0.47,0.48,0.475,0.01,570.67,52.7,99
2026-08-28T00:53:41.601836+00:00,btc-updown-15m-1787877900,15,3922262,24460721788940256162709736942779031682345851392378705657952182542165885620560,2026-08-28T00:45:00+00:00,2026-08-28T01:00:00+00:00,6.32,0.7,0.71,0.705,0.01,63.33,5931.0,99
2026-08-28T00:53:41.601836+00:00,btc-updown-15m-1787878800,15,3922562,13066909790877338476971847851588327671576452556912498317567508886559309794055,2026-08-28T01:00:00+00:00,2026-08-28T01:15:00+00:00,21.32,0.48,0.49,0.485,0.01,587.33,370.0,88
