captured_at,slug,interval_min,market_id,yes_token,window_start,window_end,minutes_left,best_bid,best_ask,mid,spread,bid_size,ask_size,book_levels
2026-08-07T01:44:10.170283+00:00,btc-updown-5m-1786066800,5,3373511,20209300364637431595813277208924629277413179414560688181775271261009772616319,2026-08-07T01:40:00+00:00,2026-08-07T01:45:00+00:00,0.83,0.56,0.57,0.565,0.01,407.12,46.67,99
2026-08-07T01:44:10.170283+00:00,btc-updown-5m-1786067100,5,3373544,23795712844483045245558401008845616922177490191664117153209547382201998874736,2026-08-07T01:45:00+00:00,2026-08-07T01:50:00+00:00,5.83,0.5,0.51,0.505,0.01,52.0,751.35,99
2026-08-07T01:44:10.170283+00:00,btc-updown-15m-1786066200,15,3373243,10180143477630291449458199093244822745830844761092257542967890057982366763304,2026-08-07T01:30:00+00:00,2026-08-07T01:45:00+00:00,0.83,0.003,0.004,0.0035,0.001,5.0,66.5,77
2026-08-07T01:44:10.170283+00:00,btc-updown-15m-1786067100,15,3373469,10577901997128395156924479861801940928635729417669356227108249675382402395748,2026-08-07T01:45:00+00:00,2026-08-07T02:00:00+00:00,15.83,0.5,0.51,0.505,0.01,333.0,231.43,75
2026-08-07T01:45:12.180663+00:00,btc-updown-5m-1786067100,5,3373544,23795712844483045245558401008845616922177490191664117153209547382201998874736,2026-08-07T01:45:00+00:00,2026-08-07T01:50:00+00:00,4.8,0.58,0.59,0.585,0.01,1496.95,312.0,99
2026-08-07T01:45:12.180663+00:00,btc-updown-5m-1786067400,5,3373554,114915742915935200488686724381061716589598178222801518006015378231336947313169,2026-08-07T01:50:00+00:00,2026-08-07T01:55:00+00:00,9.8,0.5,0.51,0.505,0.01,207.72,708.95,99
2026-08-07T01:45:12.180663+00:00,btc-updown-15m-1786067100,15,3373469,10577901997128395156924479861801940928635729417669356227108249675382402395748,2026-08-07T01:45:00+00:00,2026-08-07T02:00:00+00:00,14.8,0.52,0.53,0.525,0.01,1487.31,49.0,99
2026-08-07T01:45:12.180663+00:00,btc-updown-15m-1786068000,15,3373601,37614106712689956123450431545137425340893793916856167258395344668183292128517,2026-08-07T02:00:00+00:00,2026-08-07T02:15:00+00:00,29.8,0.5,0.51,0.505,0.01,188.0,588.43,62
2026-08-07T01:46:13.812532+00:00,btc-updown-5m-1786067100,5,3373544,23795712844483045245558401008845616922177490191664117153209547382201998874736,2026-08-07T01:45:00+00:00,2026-08-07T01:50:00+00:00,3.78,0.88,0.89,0.885,0.01,685.5,370.91,99
2026-08-07T01:46:13.812532+00:00,btc-updown-5m-1786067400,5,3373554,114915742915935200488686724381061716589598178222801518006015378231336947313169,2026-08-07T01:50:00+00:00,2026-08-07T01:55:00+00:00,8.78,0.5,0.51,0.505,0.01,230.72,684.34,99
2026-08-07T01:46:13.812532+00:00,btc-updown-15m-1786067100,15,3373469,10577901997128395156924479861801940928635729417669356227108249675382402395748,2026-08-07T01:45:00+00:00,2026-08-07T02:00:00+00:00,13.78,0.72,0.73,0.725,0.01,291.82,174.87,99
2026-08-07T01:46:13.812532+00:00,btc-updown-15m-1786068000,15,3373601,37614106712689956123450431545137425340893793916856167258395344668183292128517,2026-08-07T02:00:00+00:00,2026-08-07T02:15:00+00:00,28.78,0.5,0.51,0.505,0.01,103.0,528.43,64
2026-08-07T01:47:15.458322+00:00,btc-updown-5m-1786067100,5,3373544,23795712844483045245558401008845616922177490191664117153209547382201998874736,2026-08-07T01:45:00+00:00,2026-08-07T01:50:00+00:00,2.75,0.85,0.86,0.855,0.01,119.18,444.35,99
2026-08-07T01:47:15.458322+00:00,btc-updown-5m-1786067400,5,3373554,114915742915935200488686724381061716589598178222801518006015378231336947313169,2026-08-07T01:50:00+00:00,2026-08-07T01:55:00+00:00,7.75,0.49,0.5,0.495,0.01,308.19,115.81,99
2026-08-07T01:47:15.458322+00:00,btc-updown-15m-1786067100,15,3373469,10577901997128395156924479861801940928635729417669356227108249675382402395748,2026-08-07T01:45:00+00:00,2026-08-07T02:00:00+00:00,12.75,0.68,0.69,0.685,0.01,30.0,198.42,99
2026-08-07T01:47:15.458322+00:00,btc-updown-15m-1786068000,15,3373601,37614106712689956123450431545137425340893793916856167258395344668183292128517,2026-08-07T02:00:00+00:00,2026-08-07T02:15:00+00:00,27.75,0.5,0.51,0.505,0.01,153.0,728.43,64
