captured_at,slug,interval_min,market_id,yes_token,window_start,window_end,minutes_left,best_bid,best_ask,mid,spread,bid_size,ask_size,book_levels
2026-09-02T01:16:33.879013+00:00,btc-updown-5m-1788311700,5,4048382,88827614806047154299438521008720740950199316714018379542220098936659790830099,2026-09-02T01:15:00+00:00,2026-09-02T01:20:00+00:00,3.45,0.14,0.15,0.145,0.01,379.78,115.0,99
2026-09-02T01:16:33.879013+00:00,btc-updown-5m-1788312000,5,4048425,77284833968327796277587452004483755515395461645487211536221205321548750834585,2026-09-02T01:20:00+00:00,2026-09-02T01:25:00+00:00,8.45,0.51,0.52,0.515,0.01,48.0,315.26,99
2026-09-02T01:16:33.879013+00:00,btc-updown-15m-1788311700,15,4048387,6574036196796550082105780433149615950049499938159625538178018716349348999824,2026-09-02T01:15:00+00:00,2026-09-02T01:30:00+00:00,13.45,0.31,0.32,0.315,0.01,155.0,0.55,98
2026-09-02T01:16:33.879013+00:00,btc-updown-15m-1788312600,15,4048445,25888171690742790397992958515143714564230335958067218945270034433464268512585,2026-09-02T01:30:00+00:00,2026-09-02T01:45:00+00:00,28.45,0.5,0.51,0.505,0.01,305.0,726.08,97
2026-09-02T01:17:34.937173+00:00,btc-updown-5m-1788311700,5,4048382,88827614806047154299438521008720740950199316714018379542220098936659790830099,2026-09-02T01:15:00+00:00,2026-09-02T01:20:00+00:00,2.43,0.12,0.13,0.125,0.01,236.11,336.15,99
2026-09-02T01:17:34.937173+00:00,btc-updown-5m-1788312000,5,4048425,77284833968327796277587452004483755515395461645487211536221205321548750834585,2026-09-02T01:20:00+00:00,2026-09-02T01:25:00+00:00,7.43,0.51,0.52,0.515,0.01,58.09,321.26,99
2026-09-02T01:17:34.937173+00:00,btc-updown-15m-1788311700,15,4048387,6574036196796550082105780433149615950049499938159625538178018716349348999824,2026-09-02T01:15:00+00:00,2026-09-02T01:30:00+00:00,12.43,0.32,0.33,0.325,0.01,155.0,100.0,99
2026-09-02T01:17:34.937173+00:00,btc-updown-15m-1788312600,15,4048445,25888171690742790397992958515143714564230335958067218945270034433464268512585,2026-09-02T01:30:00+00:00,2026-09-02T01:45:00+00:00,27.43,0.5,0.51,0.505,0.01,230.0,726.08,97
2026-09-02T01:18:35.892304+00:00,btc-updown-5m-1788311700,5,4048382,88827614806047154299438521008720740950199316714018379542220098936659790830099,2026-09-02T01:15:00+00:00,2026-09-02T01:20:00+00:00,1.42,0.38,0.39,0.385,0.01,187.97,39.0,99
2026-09-02T01:18:35.892304+00:00,btc-updown-5m-1788312000,5,4048425,77284833968327796277587452004483755515395461645487211536221205321548750834585,2026-09-02T01:20:00+00:00,2026-09-02T01:25:00+00:00,6.42,0.51,0.52,0.515,0.01,64.09,315.71,99
2026-09-02T01:18:35.892304+00:00,btc-updown-15m-1788311700,15,4048387,6574036196796550082105780433149615950049499938159625538178018716349348999824,2026-09-02T01:15:00+00:00,2026-09-02T01:30:00+00:00,11.42,0.46,0.47,0.465,0.01,175.0,72.65,99
2026-09-02T01:18:35.892304+00:00,btc-updown-15m-1788312600,15,4048445,25888171690742790397992958515143714564230335958067218945270034433464268512585,2026-09-02T01:30:00+00:00,2026-09-02T01:45:00+00:00,26.42,0.5,0.51,0.505,0.01,200.0,1026.08,97
2026-09-02T01:19:36.832184+00:00,btc-updown-5m-1788312000,5,4048425,77284833968327796277587452004483755515395461645487211536221205321548750834585,2026-09-02T01:20:00+00:00,2026-09-02T01:25:00+00:00,5.4,0.49,0.5,0.495,0.01,45.51,35.0,99
